Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
9,12181.0,0.75000000,0.00000115,0.00847245,0.00013048,3.76285240,12
1,884.0,0.00000000,0.00000000,0.00002541,0.00008266,5.04477612,13
3,394.0,0.66666667,0.00000012,0.00198955,0.00006226,4.04311774,11
23,28667.0,0.38339921,0.00095701,0.01945652,0.00040582,3.39994472,11
1,156.0,0.00000000,0.00000000,0.00049542,0.00004456,4.26561636,12
2,456.0,1.00000000,0.00000000,0.00158868,0.00006136,4.04698729,12
61,74375.5,0.29836066,0.00416841,0.05189633,0.00118504,3.17661692,10
4,156.0,0.50000000,0.00000413,0.00001061,0.00015963,5.19430625,13
1,18.0,0.00000000,0.00000000,0.00000982,0.00005247,5.10171365,12
3,38.0,0.33333333,0.00027647,0.00000001,0.00018799,6.73217247,12
2,212.5,1.00000000,0.00000000,0.00008969,0.00008299,4.51575456,12
1,300.0,0.00000000,0.00000000,0.00320197,0.00004463,3.68711996,11
33,116937.5,0.60606061,0.00019447,0.03760153,0.00082832,3.43173024,11
1,36.0,0.00000000,0.00000000,0.00008829,0.00004294,4.46434494,10
2,99.0,1.00000000,0.00000000,0.00000002,0.00014765,6.72581537,12
6,4616.5,1.00000000,0.00000000,0.00664575,0.00007526,3.77114428,12
1,300.0,0.00000000,0.00000000,0.00000070,0.00005490,6.06495301,14
2,27.0,1.00000000,0.00000000,0.00000033,0.00009066,6.07269210,12
7,1403.0,0.85714286,0.00000515,0.01261357,0.00006112,3.54311774,11
2,100.0,1.00000000,0.00000000,0.00010170,0.00007983,4.62189055,12
5,9312.5,1.00000000,0.00000000,0.00647984,0.00010262,3.90298507,12
1,1744.0,0.00000000,0.00000000,0.00320197,0.00005989,3.68711996,11
10,9145.0,0.68888889,0.00002393,0.01129059,0.00010881,3.75704809,12
3,28.0,0.66666667,0.00000008,0.00000066,0.00007813,6.07241570,12
6,7204.0,0.93333333,0.00000303,0.00316204,0.00021675,3.94997236,11
7,2591.0,0.71428571,0.00000053,0.00185043,0.00007441,4.19485904,12
1,4646.0,0.00000000,0.00000000,0.00153900,0.00010784,4.04256495,11
1,236.0,0.00000000,0.00000000,0.00034174,0.00004885,4.51768933,12
2,2287.0,1.00000000,0.00000000,0.00055175,0.00008834,4.26368159,12
2,100.0,1.00000000,0.00000000,0.00049922,0.00005448,4.34687673,12
4,19357.0,0.83333333,0.00000001,0.00283333,0.00019493,3.77473742,11
2,500.0,0.00000000,0.00000013,0.00001225,0.00011312,5.42924268,13
2,720.0,1.00000000,0.00000000,0.00043018,0.00007550,4.27888336,12
4,5557.0,0.83333333,0.00001041,0.00055041,0.00021979,4.11415146,10
27,28226.0,0.55840456,0.00016315,0.03892280,0.00036696,3.38667772,11
2,76.0,1.00000000,0.00000000,0.00003031,0.00007508,4.74074074,10
2,2450.0,1.00000000,0.00000000,0.00094968,0.00010219,4.19900498,12
3,1952.0,0.66666667,0.00000017,0.00293433,0.00009185,3.86235489,11
6,10723.0,1.00000000,0.00000000,0.00968981,0.00011289,3.75704809,12
7,1506.0,0.57142857,0.00055307,0.00095634,0.00013692,4.44389165,12
43,64870.5,0.48283499,0.00121258,0.04442598,0.00092392,3.18435600,10
29,13110.0,0.33004926,0.00064484,0.02445441,0.00029751,3.47650636,11
1,693.0,0.00000000,0.00000000,0.00061325,0.00005673,4.48839138,12
12,14356.0,0.45454545,0.00010926,0.00281353,0.00033913,3.99640685,12
3,38.0,0.66666667,0.00000008,0.00000008,0.00011230,6.28026534,11
4,3960.0,0.66666667,0.00000013,0.00100376,0.00012733,4.09784411,12
4,2385.0,0.50000000,0.00008350,0.00191340,0.00007535,3.95798784,11
4,1832.0,0.50000000,0.00000022,0.00315155,0.00010243,3.87562189,11
3,234.0,0.66666667,0.00000005,0.00118035,0.00006505,4.26340520,12
1,2541.0,0.00000000,0.00000000,0.00000631,0.00009479,5.48479823,14
6,3488.0,0.60000000,0.00001533,0.00188140,0.00012196,4.07075732,11
1,147.0,0.00000000,0.00000000,0.00002094,0.00005242,5.00801548,12
1,350.0,0.00000000,0.00000000,0.00010057,0.00004827,4.61304588,11
2,152.0,1.00000000,0.00000000,0.00002028,0.00006216,4.99281371,12
6,936.0,0.46666667,0.00048606,0.00246090,0.00016707,3.97484798,11
2,96.0,1.00000000,0.00000000,0.00095240,0.00004363,4.19541183,12
2,9466.5,1.00000000,0.00000000,0.00053546,0.00017848,4.11885019,10
3,90.0,1.00000000,0.00000000,0.00019381,0.00006384,4.33582090,10
1,63.0,0.00000000,0.00000000,0.00030712,0.00004283,4.56246545,13
1,204.0,0.00000000,0.00000000,0.00044318,0.00004650,4.37810945,12
80,289105.0,0.32848101,0.00193230,0.08914620,0.00281650,3.27307905,11
1,36.0,0.00000000,0.00000000,0.00000601,0.00009423,5.43145384,13
2,38.0,0.00000000,0.00000236,0.00000001,0.00015782,6.72388060,12
8,12671.5,1.00000000,0.00000000,0.01614064,0.00013228,3.44969596,11
5,1613.0,0.50000000,0.00000036,0.00022565,0.00009482,4.33554450,10
2,177.0,1.00000000,0.00000000,0.00000006,0.00015286,6.45660586,12
3,666.0,1.00000000,0.00000000,0.00016752,0.00005869,4.93891653,12
8,4619.5,0.28571429,0.00118256,0.00030914,0.00019197,4.41929243,11
2,614.5,0.00000000,0.00000010,0.00006676,0.00005540,4.70425650,11
3,3878.0,1.00000000,0.00000000,0.00163870,0.00010184,4.08098397,11
2,8558.0,1.00000000,0.00000000,0.00455703,0.00011864,3.76506357,11
4,4236.0,1.00000000,0.00000000,0.00108573,0.00012954,4.27777778,12
3,851.0,0.66666667,0.00000008,0.00063393,0.00008366,4.35876175,12
4,4950.0,1.00000000,0.00000000,0.00579563,0.00007365,3.69900498,12
33,16134.0,0.63446970,0.00083937,0.05302381,0.00031458,3.41791045,11
2,90.0,1.00000000,0.00000000,0.00000646,0.00010894,5.42841349,13
3,648.0,0.66666667,0.00000089,0.00000093,0.00023497,5.90049751,12
16,25352.0,0.18333333,0.00487832,0.00238313,0.00091932,3.97153123,12
16,7064.0,0.45833333,0.00134932,0.01610955,0.00029849,3.66224433,11
89,182219.0,0.32252298,0.00163080,0.09577079,0.00190358,3.33609729,11
4,10006.5,1.00000000,0.00000000,0.00504658,0.00014827,3.68490879,11
30,4996.0,0.03908046,0.01678747,0.00029188,0.00153032,4.19624102,12
2,76.0,0.00000000,0.00032761,0.00000009,0.00017658,6.31564400,12
8,3188.5,0.35714286,0.00143292,0.00238361,0.00025133,3.92288557,11
43,38421.5,0.55038760,0.00026255,0.05724665,0.00054861,3.30016584,11
1,608.0,0.00000000,0.00000000,0.00142268,0.00004620,4.14621338,12
1,494.0,0.00000000,0.00000000,0.00122371,0.00004546,4.18518519,12
4,6869.0,1.00000000,0.00000000,0.00580260,0.00009121,3.70011056,11
4,3804.0,1.00000000,0.00000000,0.00126960,0.00011736,4.00690989,11
2,57.0,1.00000000,0.00000000,0.00038809,0.00007324,4.37700387,12
18,56586.0,0.43790850,0.00005251,0.01315305,0.00058664,3.60530680,11
1,462.0,0.00000000,0.00000000,0.00117187,0.00004711,3.95715865,11
6,8310.0,0.66666667,0.00000051,0.00063385,0.00021494,4.26174682,12
5,1751.0,0.50000000,0.00001224,0.00056986,0.00013808,4.45743505,12
16,28551.0,0.47500000,0.00036501,0.01530245,0.00040315,3.42150359,11
9,6287.0,0.80555556,0.00000604,0.01173680,0.00009257,3.65174129,12
18,72490.0,0.25490196,0.00141785,0.01263482,0.00099466,3.56937535,11
8,7481.0,0.60714286,0.00003518,0.00941124,0.00010664,3.68076285,12
2,513.0,1.00000000,0.00000000,0.00158868,0.00006174,4.04698729,12
