Airport,Degree,Strength,Clustering Coefficient,Average Path Length,Maximum Path Length,Betweenness,Eigenvector Centrality,PageRank
SXZ,1,553.0,0.00000000,4.48839138,12,0.00000000,0.00061325,0.00005364
SYD,70,379591.5,0.11884058,3.23466003,10,0.03424326,0.01633446,0.00892284
SYM,1,1118.0,0.00000000,4.56909895,11,0.00000000,0.00016254,0.00005551
SYO,3,5954.0,1.00000000,3.77556661,11,0.00000000,0.00241067,0.00008844
SYP,2,228.0,1.00000000,4.37700387,12,0.00000000,0.00038809,0.00006762
SYR,22,42871.0,0.77922078,3.57462687,12,0.00062660,0.02748527,0.00036164
SYU,4,192.0,0.83333333,5.45715865,11,0.00000022,0.00000326,0.00012935
SYX,7,6216.0,0.71428571,3.73466003,11,0.00000344,0.00326557,0.00010747
SYY,4,1494.0,0.66666667,4.33996683,12,0.00000110,0.00117378,0.00009068
SYZ,14,12056.0,0.41758242,3.94637922,11,0.00030340,0.00468736,0.00034537
SZA,1,156.0,0.00000000,6.39496960,14,0.00000000,0.00000038,0.00010008
SZD,3,1346.0,0.66666667,3.95467109,12,0.00000004,0.00368677,0.00005356
SZG,17,8753.0,0.64705882,3.54477612,11,0.00001374,0.02660198,0.00012810
SZK,1,1050.0,0.00000000,4.01216142,11,0.00000000,0.00100089,0.00006313
SZT,1,336.0,0.00000000,4.14289663,12,0.00000000,0.00092595,0.00004496
SZX,36,92664.0,0.41587302,3.92482034,11,0.00007489,0.00483465,0.00108706
SZZ,2,1500.0,1.00000000,3.91321172,11,0.00000000,0.00318522,0.00005782
TAB,5,6683.0,0.70000000,3.57213930,11,0.00000560,0.00768413,0.00012657
TAC,1,6048.0,0.00000000,4.11940299,10,0.00000000,0.00043088,0.00012953
TAE,3,25135.0,1.00000000,3.83720287,11,0.00000000,0.00128184,0.00025997
TAG,1,105.0,0.00000000,4.11940299,10,0.00000000,0.00043088,0.00004299
TAH,6,362.0,0.40000000,5.07352128,11,0.00138152,0.00001845,0.00025939
TAI,6,1634.0,0.73333333,3.97180763,11,0.00000190,0.00374037,0.00009487
TAJ,2,486.0,1.00000000,5.73576562,11,0.00000000,0.00000056,0.00023604
TAK,8,20104.0,0.92857143,3.71088999,11,0.00000038,0.00400851,0.00020140
TAL,6,581.0,0.53333333,4.89192924,13,0.00001469,0.00003321,0.00017371
TAM,6,6992.0,0.60000000,3.94472084,12,0.00001191,0.00299180,0.00011958
TAO,35,39514.0,0.48907563,3.61857380,11,0.00035083,0.00928807,0.00046204
TAP,2,4068.5,1.00000000,4.14234384,12,0.00000000,0.00096064,0.00008462
TAS,55,33294.0,0.22424242,3.19789939,11,0.00473446,0.04021771,0.00099942
TAV,2,306.0,1.00000000,5.11166390,12,0.00000000,0.00001046,0.00008618
TAY,1,38.0,0.00000000,4.12962963,12,0.00000000,0.00111113,0.00004194
TBG,5,417.5,0.50000000,4.74129353,10,0.00082750,0.00003150,0.00022524
TBI,2,187.5,1.00000000,4.17744610,12,0.00000000,0.00144585,0.00004459
TBJ,2,126.0,1.00000000,3.67440575,11,0.00000000,0.00591960,0.00004261
TBN,1,361.0,0.00000000,4.14317302,12,0.00000000,0.00138386,0.00004380
TBO,2,234.0,1.00000000,4.58319514,12,0.00000000,0.00012303,0.00007989
TBP,1,840.0,0.00000000,5.27777778,13,0.00000000,0.00000765,0.00006761
TBS,21,7058.5,0.55238095,3.49087894,11,0.00021504,0.02729782,0.00017742
TBT,2,327.0,1.00000000,4.91376451,13,0.00000000,0.00007391,0.00007828
TBU,11,3716.0,0.25454545,3.93145384,11,0.00286843,0.00120280,0.00036541
TBZ,2,5796.0,1.00000000,4.19900498,12,0.00000000,0.00094968,0.00018390
TCA,2,360.0,0.00000000,5.09756772,11,0.00000114,0.00001558,0.00013288
TCB,5,1955.0,0.90000000,3.96627971,12,0.00000071,0.00459223,0.00007165
TCG,1,19.0,0.00000000,5.68021006,13,0.00000000,0.00000222,0.00009296
TCH,1,38.0,0.00000000,4.50331675,12,0.00000000,0.00026669,0.00004385
TCI,50,70888.0,0.38285714,3.49640685,11,0.00069050,0.04849489,0.00075329
TCO,1,364.0,0.00000000,4.99585406,13,0.00000000,0.00004940,0.00004993
TCP,2,104.0,1.00000000,4.04367054,11,0.00000000,0.00183012,0.00004311
TCQ,3,2400.0,0.66666667,4.26865672,12,0.00000393,0.00074508,0.00008628
TCT,2,15.0,1.00000000,5.21088999,13,0.00000000,0.00000515,0.00008305
TCX,1,150.0,0.00000000,4.20011056,12,0.00000000,0.00088124,0.00004512
TDB,3,32.0,0.33333333,4.74267551,10,0.00027571,0.00003028,0.00011674
TDD,6,1726.0,0.20000000,4.84853510,13,0.00208423,0.00011799,0.00023298
TDL,3,418.0,0.33333333,4.10613599,12,0.00055294,0.00065632,0.00013286
TEE,1,671.0,0.00000000,4.44610282,12,0.00000000,0.00073577,0.00005842
TEH,1,32.0,0.00000000,5.89165285,14,0.00000000,0.00000047,0.00015899
TEP,2,38.0,0.00000000,5.72553897,11,0.00055436,0.00000059,0.00011517
TER,7,5500.0,0.23809524,4.24626866,12,0.00147680,0.00117913,0.00033824
TET,3,361.0,0.33333333,4.77667219,12,0.00000514,0.00008137,0.00007875
TEU,3,264.0,0.66666667,5.16943062,12,0.00000008,0.00001710,0.00005329
TEX,1,247.0,0.00000000,4.18518519,12,0.00000000,0.00122371,0.00004346
